,Duval,Rogers,GasChave,Doernenburg,IEC60599,LR,SVM,KNN,ANN,HistGB,SVM_5gases,KNN_estend
Duval,1.0,0.1290158812518032,0.09651135056941906,0.029384525062204125,0.20432614167231644,0.04070218170621742,0.05072166647640197,0.053238805822702684,0.04885217009118492,0.04910697133548314,0.0480071165501359,0.05081412296429699
Rogers,0.1290158812518032,1.0,-0.007361106122358407,0.09276161643216263,0.504038215181877,0.1189124423109289,0.11947759206946251,0.12196641183198931,0.1073808569253234,0.11500578640782488,0.11052251183665984,0.11241626278425831
GasChave,0.09651135056941906,-0.007361106122358407,1.0,0.07451395655944903,-0.16300000345097732,0.24288032112549474,0.23895488782280527,0.20715568372629256,0.21538058867944043,0.2235582263655247,0.2207511483382869,0.20765946658827394
Doernenburg,0.029384525062204125,0.09276161643216263,0.07451395655944903,1.0,0.11341867522410953,0.49643093658737836,0.5276355902064245,0.5822737733664713,0.5996195621622361,0.575810476771964,0.53321479220778,0.584421546006934
IEC60599,0.20432614167231644,0.504038215181877,-0.16300000345097732,0.11341867522410976,1.0,0.13733440719860024,0.13587948315863807,0.14018602135339042,0.13172054539636235,0.1301385732745176,0.13249708980437813,0.1285402325975611
LR,0.04070218170621742,0.11891244231092868,0.24288032112549474,0.49643093658737836,0.13733440719860024,1.0,0.8817067837220721,0.7933064258982664,0.8222422608846867,0.820611534554256,0.8883400330664246,0.7857845803589953
SVM,0.05072166647640186,0.11947759206946251,0.23895488782280527,0.5276355902064245,0.13587948315863796,0.8817067837220721,1.0,0.8358889931147143,0.8424594431350174,0.8562479077997226,0.8911991936128235,0.8268926836447192
KNN,0.05323880582270246,0.1219664118319892,0.20715568372629256,0.5822737733664713,0.14018602135339042,0.7933064258982664,0.8358889931147144,1.0,0.8741110757912901,0.9171664000428982,0.850681232487378,0.945498924619084
ANN,0.04885217009118492,0.1073808569253234,0.21538058867944043,0.5996195621622361,0.13172054539636258,0.8222422608846867,0.8424594431350174,0.8741110757912901,1.0,0.8896885690833818,0.8601804818892337,0.8720485488255003
HistGB,0.04910697133548314,0.11500578640782477,0.2235582263655247,0.5758104767719641,0.1301385732745176,0.820611534554256,0.8562479077997226,0.9171664000428982,0.8896885690833818,1.0,0.8612046405769181,0.901865469671913
SVM_5gases,0.04800711655013601,0.11052251183665984,0.2207511483382869,0.5332147922077801,0.13249708980437813,0.8883400330664246,0.8911991936128235,0.850681232487378,0.8601804818892337,0.8612046405769181,1.0,0.8444726613447389
KNN_estend,0.05081412296429699,0.11241626278425831,0.20765946658827394,0.584421546006934,0.12854023259756098,0.7857845803589953,0.8268926836447192,0.945498924619084,0.8720485488255003,0.901865469671913,0.8444726613447389,1.0
