modelo_a,modelo_b,p_valor,so_a_acerta,so_b_acerta,p_valor_holm
Duval,Rogers,3.1474389447732335e-14,129,34,7.239109572978437e-13
Duval,GasChave,6.754632362922603e-62,233,739,1.8237507379891028e-60
Duval,Doernenburg,4.697634459739405e-115,315,1167,1.5971957163113975e-113
Duval,IEC60599,1.8077410513282365e-12,66,8,3.615482102656473e-11
Duval,LR,0.0,35,1262,0.0
Duval,SVM,0.0,37,1294,0.0
Duval,KNN,0.0,34,1363,0.0
Duval,ANN,7.95326831183e-311,70,1360,3.65850342344175e-309
Duval,HistGB,0.0,40,1380,0.0
Duval,SVM_5gases,0.0,42,1299,0.0
Duval,KNN_estend,0.0,48,1366,0.0
Rogers,GasChave,1.6033773177358208e-85,201,802,4.970469684981044e-84
Rogers,Doernenburg,9.425091500323464e-153,232,1179,3.7700366001293855e-151
Rogers,IEC60599,0.0005701181048309126,37,74,0.006271299153140039
Rogers,LR,0.0,22,1344,0.0
Rogers,SVM,0.0,29,1381,0.0
Rogers,KNN,0.0,26,1450,0.0
Rogers,ANN,0.0,54,1439,0.0
Rogers,HistGB,0.0,31,1466,0.0
Rogers,SVM_5gases,0.0,37,1389,0.0
Rogers,KNN_estend,0.0,42,1455,0.0
GasChave,Doernenburg,7.024203934986105e-26,374,720,1.7560509837465262e-24
GasChave,IEC60599,2.5381315059536283e-73,793,229,7.614394517860884e-72
GasChave,LR,9.057767448449106e-141,102,823,3.44195163041066e-139
GasChave,SVM,8.320864882978435e-157,83,834,3.4115546020211584e-155
GasChave,KNN,6.236406777300892e-188,61,884,2.7440189820123925e-186
GasChave,ANN,1.4798090445635708e-170,73,857,6.215197987166997e-169
GasChave,HistGB,1.677598657607838e-199,48,882,7.54919395923527e-198
GasChave,SVM_5gases,3.4955480743199735e-152,93,844,1.3632637489847896e-150
GasChave,KNN_estend,8.292033661345626e-181,68,880,3.565574474378619e-179
Doernenburg,IEC60599,4.058339868775645e-138,1169,259,1.5015857514469884e-136
Doernenburg,LR,1.1413886451593905e-56,112,487,2.9676104774144154e-55
Doernenburg,SVM,1.272212538391654e-72,77,482,3.689416361335797e-71
Doernenburg,KNN,3.47398946205357e-117,24,501,1.2158963117187494e-115
Doernenburg,ANN,2.879826385462525e-106,24,462,9.21544443348008e-105
Doernenburg,HistGB,4.8213754441750875e-121,23,511,1.7356951599030315e-119
Doernenburg,SVM_5gases,1.272212538391654e-72,77,482,3.689416361335797e-71
Doernenburg,KNN_estend,7.540522122136532e-115,23,489,2.4883723003050554e-113
IEC60599,LR,0.0,28,1313,0.0
IEC60599,SVM,0.0,29,1344,0.0
IEC60599,KNN,0.0,25,1412,0.0
IEC60599,ANN,0.0,59,1407,0.0
IEC60599,HistGB,0.0,32,1430,0.0
IEC60599,SVM_5gases,0.0,33,1348,0.0
IEC60599,KNN_estend,0.0,41,1417,0.0
LR,SVM,0.006351623919901799,42,72,0.05301155682371917
LR,KNN,1.4718084174226353e-12,55,157,3.0907976765875344e-11
LR,ANN,4.21092688296981e-06,61,124,5.895297636157734e-05
LR,HistGB,3.8240198797885356e-17,38,151,9.177647711492485e-16
LR,SVM_5gases,0.005890172980413241,41,71,0.05301155682371917
LR,KNN_estend,8.212098176064645e-10,65,156,1.4781776716916361e-08
SVM,KNN,1.7584330225764972e-08,46,118,2.8134928361223955e-07
SVM,ANN,0.009932668383371975,61,94,0.05959601030023185
SVM,HistGB,1.4357438387119674e-11,36,119,2.727913293552738e-10
SVM,SVM_5gases,1.0,52,52,1.0
SVM,KNN_estend,6.004494804040154e-06,59,120,7.452860873706269e-05
KNN,ANN,0.0008320420945381636,85,46,0.008320420945381636
KNN,HistGB,0.272268945972048,36,47,0.544537891944096
KNN,SVM_5gases,4.372591882668528e-09,112,40,7.433406200536498e-08
KNN,KNN_estend,0.1770013647703581,33,22,0.5310040943110743
ANN,HistGB,5.732969902850976e-06,35,85,7.452860873706269e-05
ANN,SVM_5gases,0.006434810539596076,86,53,0.05301155682371917
ANN,KNN_estend,0.018430571670380338,52,80,0.09215285835190169
HistGB,SVM_5gases,1.044256296155224e-12,112,29,2.297363851541493e-11
HistGB,KNN_estend,0.038957933401311866,63,41,0.15583173360524746
SVM_5gases,KNN_estend,1.250637495781193e-06,48,109,1.8759562436717894e-05
