modelo,acuracia_desvio,acuracia_media,acuracia_balanceada_desvio,acuracia_balanceada_media,acuracia_condicional_cobertura_desvio,acuracia_condicional_cobertura_media,f1_macro_desvio,f1_macro_media,kappa_vs_verdade_desvio,kappa_vs_verdade_media,precisao_D_desvio,precisao_D_media,precisao_T_desvio,precisao_T_media,precisao_normal_desvio,precisao_normal_media,revocacao_D_desvio,revocacao_D_media,revocacao_T_desvio,revocacao_T_media,revocacao_normal_desvio,revocacao_normal_media,taxa_indeterminacao_desvio,taxa_indeterminacao_media
Duval,0.0,0.2834331337325349,0.0,0.4975567870478644,0.0,0.29910479199578727,0.0,0.28990867767247464,0.0,0.11262439550253567,0.0,0.36939313984168864,0.0,0.28157894736842104,0.0,0.0,0.0,0.5243445692883895,1.2412670766236366e-16,0.9683257918552035,0.0,0.0,0.0,0.05239520958083832
Rogers,0.0,0.23602794411177644,0.0,0.39573393981854,6.206335383118183e-17,0.40916955017301043,0.0,0.3337335575969293,0.0,0.12618162213211614,0.0,0.8333333333333334,0.0,0.3601161665053243,0.0,0.7333333333333333,0.0,0.33707865168539325,0.0,0.8416289592760181,0.0,0.008494208494208495,6.206335383118183e-17,0.4231536926147704
GasChave,0.0,0.5359281437125748,0.0,0.6235645536372568,0.0,0.5359281437125748,0.0,0.5179368176339313,0.0,0.26218322853626286,0.0,0.3342354533152909,0.0,0.508641975308642,0.0,0.7220930232558139,0.0,0.9250936329588015,0.0,0.4660633484162896,6.206335383118183e-17,0.4795366795366796,0.0,0.0
Doernenburg,0.0,0.7085828343313373,0.0,0.5456165192450718,1.2412670766236366e-16,0.9155383623468729,0.0,0.6599875666132455,6.206335383118183e-17,0.48207314833459075,0.0,1.0,0.0,0.9947916666666666,0.0,0.8978790259230165,0.0,0.32209737827715357,6.206335383118183e-17,0.43212669683257926,1.2412670766236366e-16,0.8826254826254825,3.1031676915590914e-17,0.22604790419161674
IEC60599,0.0,0.25449101796407186,0.0,0.42959592364747684,0.0,0.43478260869565216,0.0,0.35001273603721805,0.0,0.14819844233436463,0.0,0.9191919191919192,0.0,0.39013035381750466,0.0,0.0,0.0,0.3408239700374532,0.0,0.9479638009049773,0.0,0.0,0.0,0.41467065868263475
LR,0.0020695051250825946,0.893313373253493,0.0024814277203203555,0.9091488227112814,0.0020695051250825946,0.893313373253493,0.0024495959849560466,0.8742534531899123,0.0036970483204120303,0.8039860714567182,0.002503064944469385,0.7904470420878309,0.004986595502663331,0.7858941300757554,0.0008694478942024924,0.9684188679763729,0.0031335581518129717,0.9295880149812733,0.003431165359299383,0.9217194570135747,0.002086371596309848,0.876138996138996,0.0,0.0
SVM,0.015081917424857658,0.9191616766467066,0.008633707148265979,0.9225805231885866,0.015081917424857658,0.9191616766467066,0.015535181043967184,0.9014358940153289,0.026725629384292376,0.8485611954018119,0.029706461938669368,0.8493433504905626,0.03560180575323622,0.8306264311216568,0.0028367696356704866,0.9721103667508991,0.004270319944191484,0.9310861423220974,0.004904860495176237,0.9203619909502263,0.02214345463103432,0.9162934362934362,0.0,0.0
KNN,0.001291634641271945,0.9455089820359281,0.003521677385552583,0.9184319008112795,0.001291634641271945,0.9455089820359281,0.0012202101777475168,0.9270676544931037,0.0022905238030073334,0.8933636465104922,0.015324821375634937,0.9339351324691478,0.007429079035367867,0.9200434586071348,0.003964076869941886,0.956363407792713,0.011724701005616903,0.8636704119850187,0.007331154636208021,0.9208144796380091,0.00483474157297249,0.9708108108108107,0.0,0.0
ANN,0.0037772836063424344,0.9323353293413174,0.005717619779556152,0.8989222525111487,0.0037772836063424344,0.9323353293413174,0.0047108420156241546,0.9116712169508242,0.007749175802066396,0.8664784173131318,0.01676771206968587,0.929820501341923,0.007144030674129023,0.9068537279424724,0.005049248226584779,0.9409588951457781,0.01202007980215824,0.8599250936329588,0.015058426508863092,0.8674208144796381,0.0017777396808063804,0.9694208494208494,0.0,0.0
HistGB,0.00280951861482222,0.953493013972056,0.004367508597105867,0.9311725915030606,0.00280951861482222,0.953493013972056,0.003682357320977023,0.9366754067865924,0.005597998550268093,0.9093230009705667,0.006273611811193193,0.9402640180087785,0.006107808751211634,0.9200381353771773,0.003214247860972113,0.9674141950117182,0.006154186039383904,0.895880149812734,0.010293496077898048,0.9212669683257919,0.0008804443437059245,0.9763706563706565,0.0,0.0
SVM_5gases,0.018305281378914927,0.9187624750499002,0.012337066403440133,0.9188093178046912,0.018305281378914927,0.9187624750499002,0.020071158151425725,0.9004043024874399,0.03251345063817727,0.8474418057569016,0.04230744964064749,0.8503781820237266,0.04310228834174065,0.8371183482091894,0.004825277339576298,0.9683583018393348,0.008783550112028917,0.9138576779026218,0.011469494891978809,0.9248868778280543,0.02634891159311122,0.9176833976833976,0.0,0.0
KNN_estend,0.004210583455035731,0.9400199600798403,0.002701135381045789,0.9080573028887636,0.004210583455035731,0.9400199600798403,0.005009947352242454,0.9202772614845596,0.007835281986699806,0.881998030479126,0.015168822203879028,0.9384485973865789,0.010693442520375747,0.9153714664778052,0.0010218237575414788,0.9484486143671133,0.008205581385845205,0.852434456928839,0.006862330718598708,0.9,0.005819750944066944,0.9717374517374517,0.0,0.0
